time,value,value2
00:00:00,99.2,127.09
01:00:00,99.17,141.25
02:00:00,139.9,124.99
03:00:00,109.9,118.09
04:00:00,139.97,111.39
05:00:00,149.9,115.02
06:00:00,154.94,136.31
07:00:00,160.22,186.67
08:00:00,163.67,255
09:00:00,200.1,256.41
10:00:00,199.54,259.99
11:00:00,196.48,247.63
12:00:00,221.44,230.05
13:00:00,217.52,230.01
14:00:00,226.37,228.28
15:00:00,251.9,234.1
16:00:00,297.64,209.04
17:00:00,319.95,228.23
18:00:00,346.46,225
19:00:00,298.54,210.26
20:00:00,219,213.01
21:00:00,172.05,209.41
22:00:00,156.14,116.71
23:00:00,146.37,119.59
