kogudus,auskoht,aasta,liikmeid_kokku,keskmiselt_vottis_jumala_teenistustest_osa,ristiti,maeti,laulatati,abielu_registreeriti,noorte_toos_osales,lastetoos_osales,annetaja_liikmeid_oli_kokku,praostkond,tulud_kokku,liikmeannetused_eur,korjandused_eur,ametitalitused_eur,avaliku_sektori_toetused_kokku_eur,tulu_kinnisvarast_eur,valisannetused_ja_toetused_kokku_eur,kulud_kokku_eur
Aegviidu Aleksandri Kogudus,vald0,2017,135,19,1,4,0,0,0,10,42,Järva,10 358 €,1 820 €, 312 €, 80 €, 690 €, 0 €,7 456 €,10 473 €
Aegviidu Aleksandri Kogudus,vald1,2018,125,21,2,7,1,0,0,6,44,Järva,8 651 €,1 825 €, 581 €, 270 €, 700 €, 0 €,4 825 €,9 845 €
Aegviidu Aleksandri Kogudus,vald2,2019,116,19,2,9,0,0,0,5,41,Järva,5 588 €,1 750 €, 408 €, 180 €, 700 €, 0 €,1 750 €,9 821 €
Aegviidu Aleksandri Kogudus,vald3,2020,131,12,1,1,0,0,0,0,38,Järva,7 090 €,2 045 €, 490 €, 120 €,1 735 €, 0 €,2 400 €,7 356 €
Äksi Andrease Kogudus,vald4,2017,250,18,13,8,1,0,0,70,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
Äksi Andrease Kogudus,vald5,2018,350,19,2,6,0,0,0,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Äksi Andrease Kogudus,vald6,2019,300,19,1,9,0,0,0,20,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
Äksi Andrease Kogudus,vald7,2020,300,14,14,11,1,0,2,12,51,Tartu,56 798 €,5 205 €,1 290 €, 900 €,18 572 €,8 410 €,21 458 €,55 362 €
Alatskivi Kogudus,vald8,2017,300,8.2,0,7,0,0,0,0,30,Tartu,4 333 €,1 772 €, 931 €, 510 €, 500 €, 421 €, 0 €,4 440 €
Alatskivi Kogudus,vald9,2018,300,7,0,6,0,0,0,0,33,Tartu,5 210 €,2 131 €,1 195 €, 430 €, 800 €, 454 €, 0 €,4 803 €
Alatskivi Kogudus,vald10,2019,300,7.4,0,6,0,0,0,0,31,Tartu,8 523 €,2 362 €,1 528 €, 420 €,1 800 €,2 164 €, 0 €,7 788 €
Alatskivi Kogudus,vald11,2020,300,5,0,6,0,0,0,0,27,Tartu,7 080 €,2 250 €, 985 €, 395 €,2 055 €,1 145 €, 0 €,6 229 €
Ambla Maarja Kogudus,vald12,2017,740,20,2,17,1,1,0,6,179,Järva,34 155 €,6 178 €, 70 €, 743 €,13 984 €,6 075 €,4 518 €,31 698 €
Ambla Maarja Kogudus,vald13,2018,700,19,4,24,1,0,0,6,165,Järva,37 033 €,7 885 €, 100 €, 950 €,13 476 €,5 554 €,2 364 €,42 523 €
Ambla Maarja Kogudus,vald14,2019,690,18,9,15,1,0,0,5,168,Järva,35 296 €,9 176 €, 981 €, 920 €,11 550 €,5 972 €,1 294 €,34 838 €
Ambla Maarja Kogudus,vald15,2020,670,14,2,13,1,0,0,0,157,Järva,50 909 €,8 718 €, 339 €,1 527 €,20 903 €,6 475 €,1 386 €,47 178 €
Anna Kogudus,vald16,2017,150,19,1,3,0,0,0,0,45,Järva,38 236 €,3 210 €, 716 €, 20 €,8 678 €,2 346 €, 0 €,71 877 €
Anna Kogudus,vald17,2018,150,13,0,8,0,0,0,0,51,Järva,18 250 €,3 836 €,1 214 €, 730 €,10 728 €, 215 €, 0 €,15 834 €
Anna Kogudus,vald18,2019,100,20,8,4,0,0,0,0,59,Järva,27 962 €,4 384 €, 958 €, 210 €,16 581 €,4 250 €, 0 €,25 646 €
Anna Kogudus,vald19,2020,150,10,0,3,0,0,0,0,50,Järva,27 264 €,4 834 €, 341 €, 100 €,17 300 €,3 768 €, 0 €,18 156 €
Anseküla Maarja Kogudus,vald20,2017,124,8,1,1,0,0,0,0,22,Saarte,2 547 €, 946 €, 425 €, 206 €, 100 €, 440 €, 0 €,4 078 €
Anseküla Maarja Kogudus,vald21,2018,131,12,3,2,0,0,0,0,33,Saarte,3 687 €,1 198 €, 408 €, 275 €,1 000 €, 120 €, 0 €,4 123 €
Anseküla Maarja Kogudus,vald22,2019,131,15,2,1,0,0,0,0,25,Saarte,12 536 €,1 216 €,1 010 €, 442 €,1 000 €,1 021 €,2 874 €,4 994 €
Anseküla Maarja Kogudus,vald23,2020,131,10,2,2,0,0,0,0,24,Saarte,4 497 €, 918 €, 390 €, 283 €,1 596 €, 800 €, 0 €,8 930 €
Audru Püha Risti Kogudus,vald24,2017,237,19,6,11,1,1,0,18,70,Pärnu,9 869 €,4 113 €,1 717 €,1 020 €, 0 €,1 161 €,1 680 €,10 939 €
Audru Püha Risti Kogudus,vald25,2018,256,24,17,10,2,2,0,0,65,Pärnu,15 374 €,3 875 €,2 001 €,1 045 €, 0 €,2 000 €,4 656 €,13 941 €
Audru Püha Risti Kogudus,vald26,2019,260,19,5,3,0,0,0,0,56,Pärnu,18 254 €,3 595 €,1 763 €, 260 €,7 176 €,2 000 €,3 059 €,17 691 €
