id,asukoht,kogudus,2017,2018,2019,2020
142,Aegviidu,Aegviidu Aleksandri kogudus,10 358.27,8 651.36,5 587.94,7 090.00
143,Alatskivi,Alatskivi kogudus,4 333.20,5 210.26,8 523.29,7 080.00
54,Ambla,Ambla Maarja kogudus,34 154.53,37 033.19,35 296.00,50 909.00
87,Anna,Anna kogudus,38 236.31,18 250.01,27 961.96,27 264.43
150,Anseküla,Anseküla Maarja kogudus,2 547.41,3 687.00,12 536.30,4 497.00
31,Audru,Audru Püha Risti kogudus,9 868.61,15 374.42,18 254.15,101 838.69
85,Avinurme,Avinurme kogudus,27 638.00,35 539.00,31 858.00,29 061.00
123,Elva,Elva kogudus,7 608.47,8 346.75,7 991.56,12 353.03
147,Emmaste,Emmaste Immanueli kogudus,4 882.23,9 211.85,5 761.27,5 453.98
30,Haapsalu,Haapsalu Püha Johannese kogudus,49 721.15,49 829.70,72 514.26,103 414.84
24,Hageri,Hageri Lambertuse kogudus,98 605.65,120 499.37,181 581.15,128 877.01
8,Haljala,Haljala Püha Mauritiuse kogudus,54 262.78,86 446.96,96 201.00,297 445.00
114,Halliste,Halliste Püha Anna kogudus,16 175.66,15 958.09,15 958.09,16 555.45
152,Hanila,Hanila Pauluse kogudus,4 373.19,10 082.31,13 100.47,4 301.90
111,Hargla,hargla,55 876.91,22 510.94,19 699.40,19 190.66
93,Harju-Jaani,harju-jaani,20 774.30,33 331.86,26 557.48,24 326.00
78,Harju-Madise,harju-madise,32 322.93,19 160.21,21 881.51,33 487.18
109,Harkujärve,harkujärve,,3 106.00,8 888.04,19 933.00
66,Helme,helme,31 611.92,32 826.11,35 028.75,40 790.78
129,Häädemeeste,häädemeeste,8 394.00,29 975.00,6 610.00,11 083.00
127,Iisaku,iisaku,100 977.10,97 945.94,14 187.25,11 831.00
158,Illuka,illuka,6 086.53,2 092.00,2 886.04,2 865.00
84,Ilumäe,ilumäe,18 356.89,27 703.34,17 355.70,29 114.00
59,Juuru,juuru,29 925.00,144 063.00,45 240.00,45 912.00
118,Jämaja,jämaja,7 131.79,21 930.92,18 875.23,14 615.00
37,Järva-Jaani,järva-jaani,113 387.90,76 028.11,71 560.85,79 316.33
99,Järva-Madise,järva-madise,29 179.27,31 419.64,25 980.83,22 716.89
41,Järva-Peetri,järva-peetri,16 110.31,39 722.31,23 966.54,71 050.19
140,Järvakandi,järvakandi,6 952.00,5 825.53,10 917.00,7 999.00
67,Jõelähtme,jõelähtme,126 582.81,114 561.74,40 708.37,40 167.45
95,Jõgeva,jõgeva,13 566.13,3 893.00,19 745.08,23 858.10
20,Jõhvi,jõhvi,139 835.45,122 943.33,154 073.73,144 705.00
60,Jüri,jüri,29 625.50,30 182.70,120 209.55,44 036.07
40,Kaarma,kaarma,33 904.44,76 574.61,14 703.99,75 524.48
71,Kadrina,kadrina,43 947.98,28 371.07,22 723.46,38 746.77
76,Kambja,kambja,25 322.38,37 931.23,38 567.21,35 041.72
103,Kanepi,kanepi,12 341.06,31 610.07,14 627.47,21 363.90
104,Karja,karja,16 833.63,22 348.57,46 220.57,21 246.50
107,Karksi,karksi,9 876.19,9 224.92,12 197.96,20 417.18
64,Karula,karula,26 045.62,62 806.02,25 368.06,41 506.07
149,Karuse,karuse,8 880.37,20 450.29,14 185.91,4 698.22
16,Keila,keila,63 506.87,73 734.59,57 261.44,166 467.00
5,Kihelkonna,kihelkonna,94 848.32,98 224.22,81 888.22,375 837.18
133,Kirbla,kirbla,7 450.20,8 436.82,12 070.32,9 300.64
121,Kodavere,kodavere,8 958.85,10 661.67,31 185.54,12 645.00
47,Koeru,koeru,80 904.86,30 105.68,42 624.00,63 437.94
53,Kolga-Jaani,kolga-jaani,22 748.29,53 243.74,13 030.82,53 277.00
9,Kose,kose,72 540.00,121 235.00,116 299.53,287 613.00
73,Kullamaa,kullamaa,20 151.16,17 530.50,40 131.05,37 639.36
155,Kunda,kunda,2 573.79,2 505.49,2 951.50,3 457.38
17,Kuressaare,kuressaare,196 805.19,243 713.11,282 000.28,166 397.27
125,Kursi,kursi,7 279.09,12 297.00,14 626.00,12 002.00
164,Kuusalu,kuusalu,59 426.00,313 236.00,123 159.00,
90,Käina,käina,16 718.99,60 163.57,40 713.88,26 088.36
62,Kärdla,kärdla,70 527.89,57 110.50,49 826.20,42 702.00
113,Kärla,kärla,30 914.00,17 435.00,16 406.00,17 720.00
32,Käru,käru,8 002.85,4 956.75,16 897.70,87 718.00
108,Käsmu,käsmu,16 465.00,19 162.00,205 818.00,20 399.00
55,Kõpu,kõpu,31 761.90,68 872.93,65 742.00,49 760.48
28,Laatre,laatre,24 127.26,23 226.42,104 522.02,110 869.00
96,Laiuse,laiuse,17 267.52,23 654.00,18 316.13,23 550.00
120,Leesi,leesi,12 449.00,16 597.00,10 394.00,13 986.00
134,Lihula,lihula,4 447.00,4 770.03,4 819.79,9 112.38
165,Lohusuu,lohusuu,2 559.00,5 141.00,5 505.53,
83,Loksa,loksa,22 707.00,22 975.00,30 945.00,29 349.95
39,Lääne-Nigula,lääne-nigula,82 946.78,72 408.13,117 118.01,76 600.40
27,Lüganuse,lüganuse,28 388.74,54 090.40,44 755.89,111 893.00
45,Maarja-Magdaleena,maarja-magdaleena,17 055.94,21 965.55,93 514.36,64 816.00
106,Martna,martna,29 641.20,15 297.19,33 651.03,20 458.40
156,Mehikoorma,mehikoorma,1 408.00,1 931.00,12 750.00,3 113.00
